date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:31:32	832/832	---MCZ	200	added ('OK')	text/html	etag:W/%22641d9ac8-639%22	https://app.landglide.com/robots.txt		(from )
19:31:32	1593/1593	---MCZ	200	added ('OK')	text/html	etag:W/%22641d9ac8-639%22	https://app.landglide.com/	C:/My%20Web%20Sites/landGlide/app.landglide.com/index.html	(from )
19:31:33	6957/6957	---M--	200	added ('OK')	image/png	etag:%22641d9ac8-1b2d%22	https://app.landglide.com/favicon.png	C:/My%20Web%20Sites/landGlide/app.landglide.com/favicon.png	(from https://app.landglide.com/)
19:31:34	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2009%20Mar%202024%2018:31:34%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/landGlide/www.googletagmanager.com/gtm.15445.delayed	(from https://app.landglide.com/)
19:31:36	221352/221352	---MCZ	200	added ('OK')	text/css	etag:W/%22641d9ac8-360a8%22	https://app.landglide.com/app.673950ecc8b2eb9bc822.css	C:/My%20Web%20Sites/landGlide/app.landglide.com/app.673950ecc8b2eb9bc822.css	(from https://app.landglide.com/)
19:31:37	188124/188124	---MCZ	200	added ('OK')	application/javascript	etag:W/%22641d9ac8-2dedc%22	https://app.landglide.com/app.971bd710d1bc311bf251.js	C:/My%20Web%20Sites/landGlide/app.landglide.com/app.971bd710d1bc311bf251.js	(from https://app.landglide.com/)
19:31:38	36937/36937	---MCZ	200	added ('OK')	text/css	etag:W/%22641d9ac8-9049%22	https://app.landglide.com/chunk-vendors.7a0226b5b62b6647be24.css	C:/My%20Web%20Sites/landGlide/app.landglide.com/chunk-vendors.7a0226b5b62b6647be24.css	(from https://app.landglide.com/)
19:31:40	1019/1019	---M--	200	added ('OK')	image/svg+xml	etag:%22641d9ac8-3fb%22	https://app.landglide.com/img/remove_tag_icon.f9da9620.svg	C:/My%20Web%20Sites/landGlide/app.landglide.com/img/remove_tag_icon.f9da9620.svg	(from https://app.landglide.com/app.673950ecc8b2eb9bc822.css)
19:31:41	2017534/2017534	---MCZ	200	added ('OK')	application/javascript	etag:W/%22641d9ac8-1ec8fe%22	https://app.landglide.com/js/chunk-vendors.9e53064f.js	C:/My%20Web%20Sites/landGlide/app.landglide.com/js/chunk-vendors.9e53064f.js	(from https://app.landglide.com/)
19:31:41	1113/1113	---M--	200	added ('OK')	image/svg+xml	etag:%22641d9ac8-459%22	https://app.landglide.com/img/icon_search.bbe844c2.svg	C:/My%20Web%20Sites/landGlide/app.landglide.com/img/icon_search.bbe844c2.svg	(from https://app.landglide.com/app.673950ecc8b2eb9bc822.css)
19:31:43	1400/1400	---M--	200	added ('OK')	image/png	etag:%22578-60b26b26e9036%22	https://landglide.com//wp-content/themes/landglide/static/img/checkmark-bullet.png	C:/My%20Web%20Sites/landGlide/landglide.com/wp-content/themes/landglide/static/img/checkmark-bullet.png	(from https://app.landglide.com/app.673950ecc8b2eb9bc822.css)
